SENSITIVITY,Sea birds,Coral reef fish,Deep fish squid,Demersal fish,Infauna,Mobile epifauna,Pelagic fish,Rays skates,Sharks,Tuna billfish,Whale shark,Abyss soft,Abyss hard,Cold coral reef,Slope hard,Slope soft,Thermal vents,Ocean ridge,Deep pelagic,Midwater pelagic,Photic pelagic,Upwelling pelagic,Seamounts,Shelf hard (temp),Shelf soft (temp),Kelp forest (temp),Algae bed (temp),Mudflat (temp),Penguin feedground,Salt marsh (temp),Seagrass bed (temp),Shallow soft (temp),Shallow hard (temp),Shore (temp),Mesophotic coral,Shelf hard,Shelf soft,Algae bed,Mangrove,Mudflat,Salt marsh,Seagrass bed,Coral reef,Shallow hard,Shallow soft,Shore,Baleen whales,Dolphins,Dugong,Fur seals,Toothed whales,Sea turtles
Hydrology change,0.16,0.16,0.02,0.16,0.23,0.16,0.01,0.04,0.1,0.01,0.04,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0.16,0.36,0.25,0.11,0.16,0.12,0.56,0.49,0.42,0.02,0.42,0.04,0.02,0.02,0.11,0.49,0.22,0.22,0.22,0.13,0.02,0.22,0.2,0.06,0.06,0.06,0.02,0.04,0.09
Artisanal fishing,0.16,0.31,0.28,0.3,0.25,0.59,0.44,0.3,0.31,0.25,0.2,0.01,0.04,0.04,0.04,0.02,0,0.04,0,0,0.04,0.04,0.04,0.28,0.36,0.36,0.09,0,0,0.28,0.25,0.22,0.06,0.28,0.36,0.09,0.09,0.09,0.3,0.02,0.09,0.08,0.16,0.06,0.09,0.04,0.06,0.09,0.04,0,0.02,0.23
Crustacean pots,0.16,0.06,0.11,0.2,0.04,0.59,0.03,0.02,0.06,0,0.04,0.01,0.04,0.36,0.11,0.07,0.11,0.07,0.16,0.16,0.16,0.16,0.07,0.22,0.22,0.36,0.09,0.04,0,0.16,0.16,0.22,0.12,0,0.36,0.09,0.09,0.09,0.09,0.11,0.09,0.13,0.22,0.12,0.12,0.03,0.07,0.11,0.04,0,0.02,0.12
Demersal gillnet,0,0.29,0.3,0.5,0.01,0.08,0.18,0.28,0.21,0.12,0.16,0.36,0.36,0.64,0.11,0.36,0.28,0.36,0,0,0,0,0.36,0.04,0.36,0.16,0.16,0,0.16,0.16,0.16,0.28,0.16,0,0.16,0.09,0.2,0.16,0.06,0.02,0.16,0.22,0.28,0.16,0.25,0.04,0.28,0.28,0.11,0.16,0.11,0.42
Demersal trawl,0.16,0.36,0.53,0.56,0.36,0.36,0.11,0.28,0.14,0.06,0.16,0.36,0.36,0.64,0.64,0.53,0.53,0.45,0.04,0.04,0.04,0,0.45,0.64,0.64,0.64,0.36,0,0,0.36,0.36,0.64,0.42,0,0.81,0.42,0.42,0.36,0.16,0.02,0.25,0.28,0.64,0.42,0.42,0.04,0.11,0.07,0.11,0.16,0.07,0.3
Floating longline,0.28,0.18,0.12,0.16,0,0.01,0.16,0.18,0.4,0.61,0.12,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.36,0,0,0,0.04,0,0,0,0.04,0,0.09,0,0.04,0.12,0.16,0.04,0.02,0.02,0.04,0.08,0.11,0.09,0.16,0.04,0.12,0.25,0.16,0.36,0.2,0.27
Ghost fishing,0.28,0.18,0.07,0.09,0.02,0.09,0.08,0.28,0.29,0.07,0.05,0.22,0.16,0.28,0.11,0.22,0.07,0.04,0,0,0,0,0.11,0.04,0.04,0.04,0.09,0,0.28,0.04,0.09,0.04,0.09,0,0.36,0.22,0.22,0.09,0.3,0.04,0.09,0.27,0.3,0.09,0.07,0.1,0.12,0.25,0.16,0.16,0.12,0.27
Pelagic gillnet,0,0.16,0.04,0.12,0.01,0.01,0.32,0.3,0.36,0.41,0.3,0.16,0.16,0.04,0.04,0.36,0.04,0.16,0.04,0.04,0.04,0.04,0.16,0,0,0,0.04,0,0.16,0,0.04,0,0.09,0,0.04,0.12,0.16,0.04,0.04,0.02,0.01,0.06,0.16,0.09,0.16,0.04,0.28,0.36,0.25,0.36,0.28,0.42
Pelagic seine,0.28,0.08,0.11,0.04,0.01,0.01,0.36,0.19,0.28,0.3,0.19,0.36,0.16,0.64,0.16,0.36,0.16,0.36,0.36,0.11,0.28,0.16,0.36,0,0,0,0.01,0,0.28,0,0,0,0.04,0,0,0.02,0.06,0.01,0.02,0.02,0,0.06,0.07,0.04,0.06,0.01,0.06,0.3,0.16,0.36,0.06,0.46
Pelagic trawl,0.28,0.1,0.09,0.04,0.01,0.01,0.41,0.23,0.36,0.34,0.29,0.36,0.16,0.36,0.16,0.36,0.16,0.28,0.22,0.16,0.22,0.16,0.28,0,0,0,0.01,0,0.28,0,0,0,0.04,0,0.36,0.02,0.06,0.01,0.02,0.02,0.01,0.06,0.31,0.04,0.06,0.01,0.06,0.12,0.16,0.36,0.04,0.46
Sport fishing,0.16,0.16,0.12,0.1,0.06,0.06,0.08,0.1,0.16,0.31,0.07,0,0,0.16,0.04,0.04,0,0,0,0,0.04,0.04,0,0.36,0.36,0.22,0.01,0,0.16,0.36,0.36,0.22,0.04,0.28,0.09,0.04,0.09,0.01,0.06,0.04,0.04,0.08,0.09,0.04,0.09,0.08,0.07,0.07,0.04,0.04,0.04,0.12
Weighted longline,0,0.31,0.22,0.36,0.01,0.09,0.01,0.25,0.2,0.08,0.02,0.36,0.36,0.11,0.16,0.22,0.11,0.16,0,0,0,0,0.28,0.28,0.16,0.04,0.04,0,0,0,0.04,0.04,0.2,0,0.53,0.12,0.2,0.04,0.02,0.02,0.01,0.06,0.36,0.2,0.2,0.04,0.16,0.11,0.16,0.16,0.16,0.36
Other fishing,0.08,0.2,0.18,0.21,0.02,0.05,0.18,0.25,0.27,0.24,0.16,0.32,0.26,0.28,0.18,0.36,0.16,0.29,0.04,0.04,0.05,0.03,0.31,0.05,0.07,0.04,0.07,0,0.07,0.02,0.05,0.05,0.13,0,0.18,0.11,0.17,0.07,0.04,0.02,0.04,0.1,0.25,0.13,0.17,0.03,0.14,0.64,0.16,0.26,0.12,0.38
Plastic litter,0,0.16,0.1,0.09,0.11,0.11,0.18,0.09,0.09,0.12,0.14,0,0,0.36,0,0,0,0,0.04,0.04,0.16,0.16,0,0,0,0.16,0.09,0.16,0.28,0.04,0.09,0.16,0.01,0.16,0.11,0,0,0.09,0.31,0.12,0.09,0.11,0.25,0.01,0.12,0.23,0.25,0.25,0.22,0.64,0.3,0.31
Seabed mining,0,0.24,0.25,0.41,0.32,0.28,0.28,0.14,0.11,0.14,0.09,0.45,0.45,1,0.45,0.36,0.53,0.28,0.36,0.16,0.04,0.16,0.45,0.45,0.45,0.76,0.09,0,0,0.36,0.36,0.45,0.36,0.16,0.81,0.49,0.42,0.09,0.12,0.01,0.16,0.36,0.36,0.36,0.36,0.06,0.16,0.16,0.16,0.16,0.16,0.16
Nutrient input,0,0.14,0.04,0.16,0.36,0.25,0.08,0.1,0.1,0.04,0.08,0.04,0.04,0.28,0.16,0,0,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.16,0.09,0.04,0,0.16,0.25,0.04,0.09,0.04,0.16,0.09,0.09,0.09,0.25,0.09,0.16,0.36,0.25,0.09,0.09,0.19,0.3,0.16,0.16,0.16,0.25,0.31
Impulsive noise,0.16,0.09,0.04,0.09,0.04,0.04,0.09,0.06,0.05,0.06,0.08,0,0,0,0.16,0.16,0,0,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0.16,0.28,0.04,0.04,0.04,0.04,0.16,0.04,0.04,0.04,0.04,0.04,0.16,0.04,0.09,0.04,0.04,0.04,0.25,0.16,0.22,0.16,0.36,0.16,0.16
Infrastructure,0,0.05,0,0.07,0.06,0.04,0.02,0.03,0.03,0.01,0.01,0.36,0.16,0.64,0.04,0.36,0.16,0.16,0,0,0,0,0.16,0.64,0.36,0.28,0.09,0.36,0,0.16,0.25,0.16,0.3,0.36,0.16,0.25,0.2,0.09,0.42,0.09,0.16,0.11,0.36,0.3,0.2,0.16,0.11,0.11,0.11,0.36,0.11,0.16
Oil gas industry,0,0.14,0.04,0.12,0.13,0.1,0.09,0.06,0.07,0.06,0.08,0.16,0.16,0.64,0.04,0.04,0.64,0.36,0.16,0.04,0.16,0.16,0.36,0.45,0.45,0.16,0.04,0,0,0.16,0.16,0.36,0.3,0.28,0.25,0.25,0.16,0.04,0.04,0.01,0.09,0.11,0.16,0.3,0.04,0.07,0.36,0.25,0.16,0.36,0.36,0.27
